	термин	частота (ipm)	1960-е	1970-е	1980-е	1990-е	2000-е	2010-е	2020-е	DP	D	R		
96	национальный язык	95,55	56,2	66,5	99,7	65,7	80,2	70,2	64,4	0,1453	96,59	123		
58	лексический семантика	93,74	0	5,6	49,8	87,1	97,5	59,1	44,7	0,2181	95,29	121		
59	множественный число	93,68	252,5	180,5	111,4	72,6	60,2	69,8	73,8	0,2983	92,88	123		
61	речевой воздействие	92,66	0	0,8	11,4	50,4	86,1	88,4	40	0,3685	91,9	119		
62	сложноподчиненный предложение	92,32	13,2	108,3	122,6	87,3	92	35,3	22,6	0,3292	92,22	123		
63	структура предложение	91,61	10,8	28,4	158,5	130,1	80,3	41	15,5	0,2536	93,44	123		
65	когнитивный аспект	90,95	0	0	0,1	49,9	95,2	76,1	26,3	0,3699	91,97	114		
68	дагестанский язык	90,26	0	13,6	17,9	74,4	84,8	77,3	13,2	0,6179	82,96	106		
81	структура язык	89,29	13,2	22,1	89,6	93,5	86,6	51,6	16,9	0,2408	94,64	123		
98	описание язык	86,37	2,4	6,5	30	64,3	89,4	61,8	39,5	0,2165	95,5	123		
123	уровень язык	86,03	9,6	13,9	70,7	86,2	81,6	56,7	28,7	0,1975	95,63	123		
70	форма глагол	84,76	45,5	95,7	91,6	76,8	61,5	65,9	40,4	0,2387	94,37	123		
67	порядок слово	83,35	46,7	57,8	89,5	81,2	68,3	58,3	34,8	0,2459	93,59	123		
89	русский говор	83,24	52,7	50,8	66,6	72,3	72,4	59,8	51,7	0,3727	91,58	123		
79	башкирский язык	82,42	1,2	131,5	88,7	37,4	57,6	70,3	71,5	0,4951	87,76	117		
71	функциональный стиль	80,19	14,4	10,9	107,7	80,8	77,3	42,7	16,9	0,2684	93,56	123		
72	словарный состав	80	61	75,2	107,1	67,9	71,6	43,8	21,6	0,2135	95,21	123		
73	аварский язык	79,86	0	1,1	23,2	106,2	69,8	65,9	0,9	0,6695	81,7	85		
93	средство язык	79,83	25,1	20,4	48,9	74,4	78,7	52,3	32,9	0,2133	95,57	123		
80	семантика слово	79,5	14,4	14,5	52,4	86,5	82,3	44,7	23,5	0,2357	94,82	123		
102	развитие язык	79,38	50,3	55,2	88,2	70,8	68,5	51,1	52,2	0,1452	96,49	123		
86	китайский язык	78,28	1,2	4,7	15,6	54	54,7	86,9	185,3	0,3927	90,51	123		
74	синтаксический конструкция	77,79	32,3	44,4	82,4	87	69,6	45,8	39	0,1728	96,03	123		
75	языковой игра	77,62	0	0	0,6	21,3	77,7	74,1	26,3	0,3865	90,16	116		
78	теория перевод	77,12	1,2	3,6	25,8	31,1	76,7	62,9	103,4	0,4654	88,76	122		
76	устный речь	76,84	132,8	60,3	60	83,1	63,8	51,9	68,2	0,1467	96,53	123		
84	прошедший время	76,35	41,9	93,1	70	52,4	41,7	78,8	126	0,3207	91,83	123		
77	лексический система	76,28	4,8	20,6	49	68,2	75,6	49,9	28,7	0,2136	95,3	123		
984	языковой материал	75,04	19,1	25,7	45,3	64,6	65	60,1	54,5	0,1299	96,98	123		
262	семантика язык	74,97	0	1	23,3	57,1	83,7	47,5	19,3	0,2893	93,72	121		
82	древнерусский язык	73,96	167,6	81,2	81,8	89,2	59,2	42,9	44,2	0,3213	92,64	123		
87	производный слово	73,94	27,5	30,4	80,1	74,8	74,4	37,2	7,5	0,2794	93,91	123		
83	семантический категория	72,76	2,4	2,6	51,4	76,4	68,7	49,8	42,3	0,2304	94,86	122		
85	синтаксический структура	72,03	12	39	86,9	69,9	64,1	43,4	38,1	0,1682	95,84	123		
90	испанский язык	70,88	1,2	2,5	71	34,5	48,5	75,8	60,7	0,4632	88,39	122		
88	языковой значение	70,77	1,2	3,1	32,3	73,1	75,4	42,7	14,1	0,2682	94,23	122		
100	монгольский язык	69,63	15,6	82,8	54,5	47,2	59	51,3	35,3	0,5085	87,39	120		
118	семантический тип	69,11	3,6	8,8	60,2	91,8	64,6	41,4	19,3	0,2192	94,87	123		
91	художественный речь	68,34	85	24,2	68,9	71,6	67,8	35,5	10,3	0,2958	93,6	123		
92	тип языковой	68,33	1,2	0,7	23,4	61	71,2	47,3	17,4	0,2737	94,22	123		
101	лингвистический теория	67,81	3,6	5,6	25,3	60,5	68,1	48,5	30,6	0,2625	94,32	123		
738	технический термин	66,49	47,9	20,6	70,8	56,2	59,5	45,9	10,8	0,3278	92,82	123		
94	языковый единица	66,43	2,4	3,9	31,2	53,7	65,6	49,2	26,3	0,2282	95,08	123		
117	индоевропейский язык	66,26	55,1	40,2	66,4	60,6	57,4	45,1	17,4	0,1856	95,66	123		
95	грамматический значение	65,84	22,7	44,1	85,9	75,2	55,2	39	27,7	0,172	95,92	123		
97	языковой явление	65,49	32,3	32,2	51,2	60,6	59,7	44,5	32,4	0,1567	96,35	123		
99	теория метафора	64,37	0	0,2	0,5	41,2	64,2	56,6	14,6	0,3554	92,59	113		
103	лезгинский язык	63,12	0	2,5	4,2	51,5	57,9	58,8	2,8	0,7148	81,08	99		
105	даргинский язык	62,9	0	0,5	7	20,4	53,6	70,6	0,9	0,7132	80,01	82		
109	лингвистический семантика	62,7	1,2	0,8	19,6	46,7	66,3	44,8	11,3	0,2986	93,7	120		
198	функционирование язык	62,69	10,8	4,9	30,8	58,4	63,5	41,7	32	0,2283	95,07	122		
231	семантический класс	62,62	1,2	9,5	54,2	66,2	58,7	39,3	61,1	0,2132	94,95	123		
104	исторический грамматика	62,56	38,3	39,2	71,4	62,3	53,9	40	19,7	0,2498	94,24	123		
106	русский синтаксис	61,93	21,5	9,8	50	81	60,7	34,5	10,3	0,259	94,25	123		
107	грамматический форма	61,74	64,6	88,2	70,5	61,5	49,5	37,7	18,8	0,1729	96,13	123		
116	азербайджанский язык	61,57	0	327,7	214,4	32,4	26,9	13,9	16,5	0,6516	83,01	102		
121	таджикский язык	60,86	2,4	9,5	20,3	17,1	22,9	98	87	0,6882	80,78	90		
108	коммуникативный аспект	60,84	0	0,5	20,2	71,3	65,4	35,9	13,2	0,3015	93,6	120		
111	семантический система	59,88	3,6	11,3	63	61,3	58,4	34	21,2	0,2481	94,54	123		
113	естественный язык	59,66	1,2	10,6	21,4	53,3	57	45,7	29,6	0,2013	94,57	123		
178	кавказский язык	59,26	6	10,9	27,3	81,6	54	42	2,4	0,6268	82,13	104		
114	речевой коммуникация	58,91	2,4	1,3	7,4	32,8	59,4	50	23	0,3167	93,25	122		
112	жанр речь	58,85	1,2	0	1	12,3	60,8	54,7	15,5	0,4378	90,59	112		
124	турецкий язык	57,98	3,6	285,8	100,8	24,8	35,1	25,4	40,9	0,5159	86,67	122		
119	русский словообразование	57,37	13,2	7	67,4	61,6	60	26,2	3,3	0,4143	89,61	123		
115	объект лингвистический	57,32	0	1,3	21,4	43,6	53,1	48,8	24,9	0,2793	94,25	121		
134	языковой ситуация	57,29	7,2	4,4	16,7	29,5	50	52,1	127,9	0,2684	93,3	123		
120	иностранный слово	56,91	113,7	40,5	31,7	53,2	50,1	41,1	16	0,1657	96,02	123		
122	смысловой структура	56,35	8,4	19,4	62,7	54,4	59,6	25,5	6,1	0,2916	93,25	123		
125	прикладной лингвистика	56,26	2,4	8,2	30,9	40,8	51,5	46,3	22,1	0,2275	94,9	123		
132	семантический аспект	56,15	0	3,9	37,7	61,7	56,6	34,3	13,6	0,2704	94,35	123		
126	речевой этикет	56,13	0	6,2	20,6	51,8	63,1	31,9	7,5	0,3477	91,18	121		
152	значение глагол	56,08	43,1	39,7	59	60,5	47,5	34,2	65,8	0,2048	95,42	123		
128	модальный значение	55,23	3,6	25,7	48,6	39,4	49,9	40,5	19,3	0,2925	91,55	123		
766	глагольный слово	55,07	2,4	28,4	52,6	52,4	50,8	34,4	30,6	0,2831	92,61	123		
127	грамматический строй	54,98	26,3	54,2	90,1	60,6	46,8	26,7	9,4	0,2262	94,74	123		
130	структурный лингвистика	54,91	4,8	7,2	58	68	55,2	27,1	8	0,2605	94,01	122		
131	семантический признак	54,78	2,4	12,7	65,2	64,9	48,5	33,4	18,8	0,2219	94,22	123		
129	сплошной выборка	54,58	0	1,6	25,3	28,1	48,2	51,1	33,4	0,243	94,88	121		
140	группа слово	54,18	46,7	46,9	78,8	58,6	45,6	29,6	16,5	0,2023	94,98	123		
143	чувашский язык	54,08	4,8	163,4	95,3	32,5	36,4	30,1	14,6	0,5658	86,57	110		
133	глагол движение	53,74	9,6	19	45,5	51,3	46,3	39	47,5	0,3178	92,27	123		
135	придаточный предложение	53,55	22,7	129,4	94,5	54,6	37,1	27,1	9,4	0,3225	91,47	123		
153	форма слово	53,39	44,3	52,8	51,4	54	45,1	34,3	21,6	0,1483	96,55	123		
137	технический терминология	53,24	27,5	12,1	54,6	44,2	49,9	35,2	7,5	0,341	92,4	120		
136	теория коммуникация	53,04	0	0,3	11,9	33,9	49,4	48,4	17,4	0,3551	92,2	119		
138	прямой речь	52,78	57,4	58,3	60,7	34,5	44	35,3	36,2	0,3092	92,61	123		
157	узбекский язык	52,44	4,8	266,6	196,6	30,4	19,7	14,1	5,2	0,6265	83,67	110		
163	алтайский язык	52,26	0	135,9	60,5	30,1	41,1	30,9	24,4	0,4982	87,99	119		
139	языковой номинация	51,82	0	1,8	60	53,7	52,6	27,1	1,9	0,3105	92,83	116		
263	особенность язык	51,79	20,3	30,9	29,6	29,4	45,1	43,9	25,9	0,1599	96,49	123		
142	коммуникативный стратегия	51,65	0	0	0,2	6,6	44	60,6	23,5	0,399	91,09	112		
943	русский диалект	51,6	58,6	33	36,3	46,1	47,2	34,7	23,5	0,3428	92,26	123		
141	именной группа	51,38	1,2	0,3	16,7	26	28,9	69,4	65,4	0,5041	86,33	119		
171	функция язык	50,89	9,6	5,9	36,1	53,6	48,4	33,5	32,4	0,2231	94,9	123		
147	якутский язык	50,43	0	106,4	57,1	30,4	35,3	34,9	105,3	0,6225	83,61	108		
144	диалогический речь	50,32	12	9	48,7	58,4	49,3	24,8	82,3	0,3277	91,86	122		
146	концептуальный анализ	49,55	0	0	0	21,3	52,8	41,3	22,1	0,3579	92,2	107		
145	синтаксический единица	49,28	4,8	20,9	56,3	61,2	48,7	22,7	6,6	0,2599	94,25	123		
148	имя прилагательное	48,87	9,6	32,3	53,1	51,1	45,7	26,7	16,9	0,2868	93,23	123		
149	семантический характеристика	48,66	0	9,8	45,5	50,5	45,5	31,1	16,5	0,2403	94,67	123		
150	аспект языковой	47,97	4,8	1,6	15,6	37,1	50,8	33,3	14,1	0,2915	93,38	121		
151	ассоциативный эксперимент	47,74	6	0	1,8	9,8	41,2	53,9	25,9	0,4127	90,55	111		
202	романский язык	46,45	10,8	3,6	59,6	39,9	34,9	37,1	72,9	0,3462	91,73	123		
158	коммуникативный поведение	46,33	0	0	0,9	5	42,8	50,5	13,2	0,4183	90,29	113		
156	лексический средство	46,21	3,6	8,3	29,5	35,8	46	31,2	31	0,2064	95,47	123		
161	функциональный аспект	46,18	0	1	15,6	39,3	47,4	33,4	8,9	0,2718	94,25	122		
162	иноязычный слово	46,15	22,7	16,3	20,6	38,4	46,7	30,8	17,4	0,2352	92,28	123		
164	поэтический язык	45,94	49,1	16,3	16	41,3	48	27,9	30,6	0,3089	92,59	123		
160	когнитивный семантика	45,78	0	0	0	12,2	49,8	38,7	18,8	0,3951	91,52	109		
159	коммуникативный ситуация	45,77	0	0,5	4,9	25,2	42,3	43,3	37,6	0,276	93,85	122		
985	современный языкознание	45,69	9,6	9	27	37,6	42,5	34,7	23,5	0,2158	95,33	123		
986	теория текст	45,64	0	0,2	14,6	24,1	41,4	43,3	15	0,3301	92,69	119		
170	кумыкский язык	45,4	1,2	27	23,5	31,7	48,3	27,6	2,4	0,6981	79,24	84		
173	казахский язык	45,27	4,8	190,3	135,8	27,9	22,7	15,8	25,4	0,537	86,12	112		
165	великорусский язык	45,02	28,7	24	23,6	33,3	42,7	32,9	13,6	0,2157	94,93	123		
166	семантический отношение	44,61	2,4	10,3	64,2	44,5	41,7	23,6	21,6	0,2451	93,39	123		
172	модальный слово	44,21	3,6	60,9	48,4	66,5	38,1	19,6	22,6	0,3389	90,75	123		
194	языковой контакт	44,14	1,2	17,2	31,9	28,5	36,6	38,1	39,5	0,2541	93,84	123		
168	единственный число	44,1	143,6	101,3	51,2	27,2	24,2	37,4	40,4	0,3371	92,17	123		
274	конкретный язык	44,1	2,4	25,7	37,9	41,6	39,3	29,4	36,2	0,2187	94,46	123		
167	письменный речь	43,98	87,4	30,2	38,3	38,7	35,5	32,7	33,9	0,1759	95,53	123		
169	географический название	43,62	64,6	80,5	48,6	51,1	30,6	25	89,3	0,3301	91,79	123		
235	типология язык	43,62	0	3,8	40,4	36,3	43,5	27,5	9,4	0,2704	93,77	123		
177	лексический состав	43,29	13,2	33,3	39,6	34,5	38,9	28,6	25,9	0,1672	96,16	123		
987	прецедентный текст	43,09	0	0	0	15,7	43,9	38,6	32,4	0,3462	91,61	110		
183	лингвистический описание	42,87	1,2	2	32,1	45	40,7	29	16,9	0,2229	95,13	123		
174	лексика современный	42,85	10,8	11,8	45,5	40,8	42,6	23,5	10,3	0,2374	94,79	123		
176	служебный слово	42,77	7,2	39	39	34,2	39,8	26,2	19,3	0,2775	93,4	123		
175	теоретический грамматика	42,52	0	1,6	42,1	34,1	38,5	31,8	7,1	0,3994	91,54	119		
180	падежный форма	42,31	19,1	53,3	51	39,9	33,3	27,8	14,6	0,275	93,26	123		
185	употребление слово	42,28	190,3	83,8	63,5	43,7	29,1	22,4	29,2	0,2532	93,72	123		
233	структурный тип	42,08	3,6	16,2	57,7	43,1	37,4	24,7	11,3	0,276	93,87	123		
464	родственный язык	41,7	19,1	52,4	55,2	36,7	30,6	29,6	17,9	0,2931	93,63	123		
187	когнитивный подход	41,02	0	0	0	24,7	40,5	36,2	28,7	0,3407	92,67	111		
179	анализ лексика	41,01	1,2	5,6	41	37,8	40,6	24,2	15,5	0,2415	94,73	123		
181	коммуникативный функция	40,62	9,6	5,9	33,7	46,8	38,3	25,6	14,6	0,2372	94,55	123		
184	компонент значение	40,59	2,4	1	23,5	43,9	38,1	29,1	17,9	0,2122	95,2	121		
204	временный форма	40,35	16,8	30,7	58,9	34,7	32,4	25,3	45,6	0,2454	92,88	123		
218	лексикографический источник	40,25	1,2	2,1	14,1	15,7	33,8	42,1	19,3	0,263	94,21	123		
182	номинативный единица	40,24	0	1,8	18,5	40,2	43	24,3	11,8	0,2805	93,86	121		
193	личный местоимение	40,2	16,8	39,7	28,8	36,1	32,6	31	16,9	0,2549	94,01	123		
191	русский словесность	39,94	7,2	2,8	3,4	15,5	41,1	34,7	9,4	0,3499	92,36	123		
242	стилистический особенность	39,94	7,2	13,2	34,2	29,5	34,8	31,4	15	0,2213	95,35	123		
186	синтаксический функция	39,85	7,2	34,1	65,8	46,4	33,3	20,3	7,5	0,2455	94,03	123		
190	теория дискурс	39,74	0	0	0,8	5,2	26,5	55,5	26,8	0,4579	89,3	115		
188	лексикографический описание	39,45	2,4	0,8	13,3	31,4	36,8	32,3	42,8	0,2327	94,5	120		
286	семантика глагол	39,44	1,2	7,2	33,8	38,4	36,6	25,7	41,4	0,1809	95,9	123		
195	детский речь	39,29	2,4	4,7	3,9	52,1	36,9	29,7	16	0,414	90,6	122		
201	семантический компонент	39,23	1,2	1,3	37,2	40,7	35,3	26,9	26,3	0,1999	95,3	122		
189	аспект семантика	39,04	0	0,3	9,3	42,4	42,6	23,8	7,1	0,304	93,69	119		
192	поэтический речь	39,01	87,4	36,8	30,6	43,2	37,5	19,5	8,9	0,2602	93,52	123		
197	лингвистический прагматика	38,85	0	0	3,8	35,6	40,8	28,4	9,4	0,3512	92,16	117		
933	предложный падеж	38,68	56,2	14,4	33,7	32,9	36,6	24,9	9,9	0,3638	89,96	121		
199	родительный падеж	38,64	181,9	85,3	70	33,9	20,9	25,7	18,8	0,33	91,24	121		
230	когнитивный термин	38,44	0	0	0	10,3	37,4	38,1	13,6	0,3697	92,12	106		
196	категория время	38,43	0	17,2	29,3	31,7	35,1	28	8,9	0,2554	94,19	123		
200	категория модальность	38,08	0	7,4	23,3	41,1	36,3	25,9	10,3	0,3178	92,95	121		
246	марийский язык	37,96	0	11,6	15,6	26	30,1	37,4	26,3	0,6578	82,15	94		
303	взаимодействие язык	37,94	0	8	20,9	26,5	36,2	29,2	16,9	0,2423	94,57	122		
215	бурятский язык	37,93	1,2	2,9	8,6	49	34,9	28,1	37,6	0,6256	81,65	97		
224	анализ дискурс	37,84	0	0	0,3	8,9	32,8	42,5	23	0,3934	90,85	113		
211	класс слово	37,81	2,4	9,8	35,9	45,5	35,8	21,7	15,5	0,2263	94,66	123		
203	знаковый система	37,75	2,4	2,1	13,3	37,3	36,3	28,5	16	0,2363	94,83	123		
210	языковый знак	37,65	0	4,4	27,6	37	36,1	25,2	18,3	0,2485	94,48	123		
220	русский лексика	37,46	19,1	10,8	31	48,5	35,4	21,6	10,3	0,3229	92,13	123		
205	вспомогательный глагол	37,26	13,2	39,7	39	28,5	21,3	36,1	67,2	0,4127	88,78	120		
223	состав язык	37,12	13,2	19,9	35,9	28,8	34,9	23,6	16,9	0,2052	95,35	123		
207	научный речь	37,1	6	1,6	55,7	50,4	35,2	16,5	11,3	0,3318	91,88	121		
227	арабский язык	37,08	7,2	25,8	57,6	15,4	34,1	22,7	7,1	0,4723	86,48	121		
206	способ словообразование	36,96	8,4	16,2	30	32,4	34,8	24,6	9,4	0,2705	93,65	123		
209	грамматический учение	36,94	10,8	6,5	29,6	40	37,1	21,5	2,4	0,2429	94,97	123		
219	философия язык	36,88	3,6	1	3,8	24,9	39,8	27,4	8,9	0,3098	92,7	121		
213	языковой знак	36,81	1,2	8,3	17,7	27,3	34,1	29,7	16,9	0,2145	94,96	123		
240	группа глагол	36,8	3,6	21,2	43,8	36,3	32,9	21,6	25,4	0,2502	94,09	123		
208	синтаксический связь	36,79	7,2	32,5	56	43	32,2	17,5	11,3	0,2433	94,21	123		
217	речевой действие	36,71	3,6	0,3	8,7	28,2	38,4	27	10,3	0,2816	93,14	120		
222	языковой уровень	36,43	3,6	3,6	21,2	33,3	34,3	27,1	13,6	0,2155	95,16	123		
212	функциональный семантика	36,28	0	0,3	3,1	33,3	38,7	25,8	6,1	0,3198	93,19	116		
214	деловой письменность	36,21	18	16	27,3	26,1	35,7	23,8	7,5	0,4385	88,94	114		
216	когнитивный модель	36,04	0	0	0	22,5	35,2	32,5	15,5	0,4007	90,41	112		
244	отдельный слово	36,01	76,6	66,5	46,7	36,6	26,6	20,5	24	0,1963	95,32	123		
248	структура концепт	35,39	0	0	0,4	3,8	36	34,2	16,9	0,4283	90,29	105		
225	русский пословица	35,04	18	10,8	10,8	18,7	31,3	31,1	41,8	0,3103	92,84	123		
221	история языкознание	34,98	3,6	8,3	18,9	31,7	33,7	24,9	11,3	0,2472	94,68	123		
226	будущий время	34,92	27,5	57,8	44,2	19,9	20,7	31,5	28,7	0,3125	92,63	123		
241	тип дискурс	34,89	0	0,2	0,1	4,7	24,1	47,4	30,1	0,4227	89,87	110		
228	научный стиль	34,85	14,4	10,8	49,2	36,7	32,7	17,8	13,2	0,2893	93,29	123		
234	балкарский язык	34,82	0	52,6	28,8	16,3	33,3	21,5	3,8	0,5996	83,31	101		
229	семантический связь	34,38	8,4	9,1	47,9	35,4	33,5	16,7	9,4	0,2488	93,53	123		
239	языковой норма	34,32	52,7	13,1	24,6	25,5	29,5	27,2	19,7	0,1914	95,72	123		
988	смысл текст	34,3	1,2	2	5,5	29,2	35,9	24,6	18,3	0,2481	94,75	122		
232	ассоциативный поле	34,04	0	0	0,6	9,7	28,6	39,6	5,2	0,4424	88,17	115		
465	переходный глагол	33,97	10,8	26,8	29,1	22,9	20,9	36	21,2	0,3767	89,94	121		
237	стилистический прием	33,94	26,3	16,5	38,6	26,5	28,2	25	15	0,2489	93,5	123		
284	грамматический класс	33,84	0	9,8	34,9	46,6	31,7	18,1	6,6	0,3316	90,85	123		
252	история слово	33,83	39,5	28,8	37,9	60,4	25,4	19,3	8,9	0,285	93,12	123		
236	диалектный лексика	33,78	15,6	22,2	26,7	29,3	33,3	19,9	4,7	0,3262	91,52	122		
268	сочетание слово	33,27	49,1	49,5	53	37	23,9	19	16	0,2258	93,94	123		
238	речевой ситуация	33,22	15,6	10,9	18,9	25,4	35,4	19,9	5,2	0,2422	94,31	123		
